Price,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX
Datetime,,,,,
2026-04-23 13:30:00+00:00,26834.615234375,26839.5234375,26820.234375,26820.234375,0
2026-04-23 13:31:00+00:00,26828.126953125,26866.708984375,26828.126953125,26848.380859375,9800163
2026-04-23 13:32:00+00:00,26857.4375,26857.4375,26830.041015625,26830.041015625,10510792
2026-04-23 13:33:00+00:00,26851.4609375,26864.798828125,26850.234375,26852.970703125,8230340
2026-04-23 13:34:00+00:00,26852.193359375,26855.40234375,26847.337890625,26847.884765625,6256612
2026-04-23 13:35:00+00:00,26881.357421875,26881.357421875,26858.578125,26858.578125,7231247
2026-04-23 13:36:00+00:00,26885.302734375,26885.302734375,26871.427734375,26877.880859375,7137729
2026-04-23 13:37:00+00:00,26875.283203125,26890.052734375,26871.515625,26890.052734375,6034928
2026-04-23 13:38:00+00:00,26894.57421875,26894.57421875,26875.708984375,26878.703125,5129635
2026-04-23 13:39:00+00:00,26907.3984375,26907.3984375,26893.830078125,26897.51953125,5448286
2026-04-23 13:40:00+00:00,26912.798828125,26912.798828125,26890.53515625,26890.53515625,6205967
2026-04-23 13:41:00+00:00,26911.3984375,26915.90234375,26900.046875,26915.90234375,6103954
2026-04-23 13:42:00+00:00,26907.171875,26914.732421875,26901.005859375,26910.630859375,6560341
2026-04-23 13:43:00+00:00,26914.779296875,26914.974609375,26909.185546875,26910.052734375,5904147
2026-04-23 13:44:00+00:00,26910.041015625,26919.126953125,26908.91015625,26914.48046875,4798049
2026-04-23 13:45:00+00:00,26900.138671875,26907.69921875,26889.890625,26907.69921875,4746098
2026-04-23 13:46:00+00:00,26927.380859375,26927.380859375,26904.83203125,26904.83203125,5381846
2026-04-23 13:47:00+00:00,26938.904296875,26940.03125,26919.06640625,26929.509765625,4913814
2026-04-23 13:48:00+00:00,26940.8671875,26944.802734375,26935.947265625,26938.33203125,4499309
2026-04-23 13:49:00+00:00,26932.4375,26940.240234375,26924.61328125,26936.333984375,3752692
2026-04-23 13:50:00+00:00,26899.36328125,26927.75,26899.36328125,26926.779296875,4781318
2026-04-23 13:51:00+00:00,26921.568359375,26927.00390625,26906.365234375,26906.365234375,6541336
2026-04-23 13:52:00+00:00,26932.3046875,26932.3046875,26921.537109375,26921.537109375,4699629
2026-04-23 13:53:00+00:00,26923.439453125,26926.001953125,26915.443359375,26926.001953125,4244679
2026-04-23 13:54:00+00:00,26910.900390625,26920.45703125,26908.7578125,26920.45703125,3912972
2026-04-23 13:55:00+00:00,26899.361328125,26905.791015625,26899.333984375,26904.9921875,3943663
2026-04-23 13:56:00+00:00,26883.763671875,26899.30078125,26881.78125,26899.30078125,4180262
2026-04-23 13:57:00+00:00,26889.060546875,26896.775390625,26883.865234375,26886.216796875,4446405
2026-04-23 13:58:00+00:00,26875.611328125,26888.314453125,26870.009765625,26888.314453125,3879113
2026-04-23 13:59:00+00:00,26869.439453125,26877.103515625,26869.439453125,26873.52734375,4201426
2026-04-23 14:00:00+00:00,26836.466796875,26863.888671875,26836.466796875,26863.888671875,5015375
2026-04-23 14:01:00+00:00,26843.802734375,26846.1015625,26835.62109375,26837.390625,5152318
2026-04-23 14:02:00+00:00,26858.125,26858.125,26824.87890625,26841.310546875,4423858
2026-04-23 14:03:00+00:00,26865.646484375,26865.646484375,26854.318359375,26857.171875,3894564
2026-04-23 14:04:00+00:00,26869.1640625,26878.169921875,26863.4296875,26866.80078125,3937948
2026-04-23 14:05:00+00:00,26870.94140625,26871.38671875,26854.509765625,26864.013671875,3823807
2026-04-23 14:06:00+00:00,26853.361328125,26870.419921875,26852.98046875,26870.419921875,3410289
2026-04-23 14:07:00+00:00,26853.69140625,26855.75390625,26847.626953125,26852.060546875,4077837
2026-04-23 14:08:00+00:00,26869.984375,26869.984375,26854.673828125,26854.78125,3555015
2026-04-23 14:09:00+00:00,26875.818359375,26877.482421875,26871.736328125,26874.939453125,4089833
2026-04-23 14:10:00+00:00,26857.029296875,26878.234375,26854.29296875,26876.751953125,3296434
2026-04-23 14:11:00+00:00,26854.935546875,26857.078125,26846.21875,26857.078125,3476893
2026-04-23 14:12:00+00:00,26846.54296875,26853.298828125,26843.56640625,26850.857421875,3129819
2026-04-23 14:13:00+00:00,26841.978515625,26851.861328125,26841.978515625,26848.3984375,3354745
2026-04-23 14:14:00+00:00,26838.458984375,26840.119140625,26833.12109375,26840.119140625,3707878
2026-04-23 14:15:00+00:00,26867.548828125,26868.736328125,26840.298828125,26840.298828125,3878177
2026-04-23 14:16:00+00:00,26860.96484375,26875.73828125,26859.9375,26866.791015625,3525473
2026-04-23 14:17:00+00:00,26870.92578125,26872.779296875,26859.169921875,26859.169921875,3486032
2026-04-23 14:18:00+00:00,26852.62890625,26874.4453125,26852.62890625,26870.712890625,3009578
2026-04-23 14:19:00+00:00,26838.615234375,26848.982421875,26838.615234375,26845.03515625,3330288
2026-04-23 14:20:00+00:00,26847.455078125,26850.931640625,26843.373046875,26843.373046875,2901488
2026-04-23 14:21:00+00:00,26854.142578125,26854.142578125,26844.392578125,26849.599609375,2991705
2026-04-23 14:22:00+00:00,26847.908203125,26852.927734375,26842.33984375,26852.927734375,3123223
2026-04-23 14:23:00+00:00,26861.119140625,26861.119140625,26850.70703125,26850.70703125,2293915
2026-04-23 14:24:00+00:00,26875.375,26877.89453125,26862.4375,26862.48828125,2646064
2026-04-23 14:25:00+00:00,26871.02734375,26873.927734375,26865.453125,26870.115234375,2943750
2026-04-23 14:26:00+00:00,26871.09765625,26875.294921875,26870.53515625,26872.5546875,2702347
2026-04-23 14:27:00+00:00,26869.79296875,26876.759765625,26869.79296875,26872.373046875,2961584
2026-04-23 14:28:00+00:00,26858.74609375,26867.48828125,26854.41015625,26867.48828125,2698314
